# Testing Hostname: bgio297
# Processors: 32 MsgLen 64 Repeats: 100
# ProcName1:rank   ProcName2:rank   AvgCommTime(usecs) StdDev
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <4,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 028       9.90    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <5,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 029      10.13    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <6,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 030       9.94    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <7,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 031       9.73    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002       0.00    0.00
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003       8.86    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <4,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 004       9.06    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <5,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 005       9.28    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <6,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 006       9.57    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <7,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 007       9.27    0.00
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <0,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 008       9.32    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <1,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 009       9.11    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <2,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 010       8.87    0.00
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <3,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 011       9.12    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <4,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 012       9.30    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <5,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 013       9.47    0.01
