# Testing Hostname: bgio297
# Processors: 32 MsgLen 64 Repeats: 100
# ProcName1:rank   ProcName2:rank   AvgCommTime(usecs) StdDev
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <5,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 013     9.5027  0.0080
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <6,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 014     9.7986  0.0112
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <7,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 015     9.5266  0.0080
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <0,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 016     9.5059  0.0098
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <1,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 017     9.3095  0.0074
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <2,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 018     9.0565  0.0061
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <3,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 019     9.2874  0.0068
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <4,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 020     9.4922  0.0081
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <5,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 021     9.7192  0.0078
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <6,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 022     9.9075  0.0104
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <7,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 023     9.7151  0.0081
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <0,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 024     9.6991  0.0095
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <1,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 025     9.4713  0.0077
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <2,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 026     9.2407  0.0040
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <3,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 027     9.4914  0.0075
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <4,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 028     9.6882  0.0075
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <5,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 029     9.8527  0.0076
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <6,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 030     10.1279  0.0105
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <7,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 031     9.8843  0.0077
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003     0.0000  0.0000
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <4,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 004     8.8967  0.0080
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <5,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 005     9.0684  0.0056
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <6,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 006     9.2588  0.0055
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <7,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 007     9.5154  0.0078
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <0,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 008     9.5128  0.0074
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <1,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 009     9.2737  0.0057
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <2,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 010     9.0465  0.0060
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <3,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 011     8.8804  0.0030
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <4,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 012     9.1276  0.0070
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <5,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 013     9.3291  0.0079
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <6,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 014     9.5181  0.0087
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <7,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 015     9.7465  0.0072
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <0,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 016     9.6935  0.0098
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <1,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 017     9.4800  0.0090
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <2,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 018     9.2462  0.0073
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <3,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 019     9.0733  0.0062
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <4,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 020     9.3307  0.0067
